ABE,9E,441,9.4556,-1.2808,2,0.004535,13.1205,-3.665,1
ABE,G4,740,10.768,1.7337,3,0.004054,13.1205,-2.3526,2
ABE,OH,476,11.258,1.3483,7,0.014706,13.1205,-1.8625,3
ABE,OO,274,29.1521,19.3166,11,0.040146,13.1205,16.0315,4
ABI,MQ,765,12.0424,10.5551,12,0.015686,12.0424,0.0,1
ABQ,DL,593,0.8162,-6.8071,0,0.0,11.439,-10.6228,1
ABQ,OO,1724,4.8126,0.8669,16,0.009281,11.439,-6.6264,2
ABQ,NK,201,7.6985,-0.5879,2,0.00995,11.439,-3.7405,3
ABQ,MQ,205,9.065,7.2764,5,0.02439,11.439,-2.374,4
ABQ,UA,699,9.3862,3.391,7,0.010014,11.439,-2.0529,5
