airline,origin,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancelled_flights,cancellation_rate,active_months
9E,ABE,1017,-47.0,575.0,0.6693,14,0.013766,1,10,11,12,2,3,4,5,6,7,8,9
9E,ABY,38,-32.0,321.0,4.3684,0,0.0,1,11,12,2,3
9E,AEX,878,-34.0,979.0,9.6129,9,0.010251,1,10,11,12,2,3,4,5,6,7,8,9
9E,AGS,1603,-36.0,1091.0,6.9669,33,0.020586,1,10,11,12,2,3,4,5,6,7,8,9
9E,ALB,1089,-51.0,394.0,-4.3889,21,0.019284,1,10,11,12,2,3,4,5,6,7,8,9
9E,ATL,26877,-43.0,1207.0,2.4584,293,0.010902,1,10,11,12,2,3,4,5,6,7,8,9
9E,ATW,176,-34.0,420.0,9.3943,0,0.0,1,10,4,5,6,7,8,9
9E,AUS,379,-35.0,1225.0,14.1459,2,0.005277,1,11,2,3,4,5,6,7
9E,AVL,675,-43.0,949.0,1.9164,14,0.020741,1,10,11,12,2,3,4,5,6,7,8,9
9E,AZO,14,-22.0,71.0,-2.9286,0,0.0,1
