ABE,G4,2557,9.1648,1.0092,33,0.012906,12.4369,-3.2721,1
ABE,9E,1446,9.3406,-0.0014,16,0.011065,12.4369,-3.0963,2
ABE,OH,1633,14.1819,3.4412,22,0.013472,12.4369,1.745,3
ABE,OO,581,30.1344,20.9891,23,0.039587,12.4369,17.6975,4
ABI,MQ,2503,8.753,6.2949,27,0.010787,8.753,0.0,1
ABQ,DL,2122,1.5251,-5.8949,14,0.006598,10.0162,-8.4911,1
ABQ,OO,5678,2.938,-1.1292,34,0.005988,10.0162,-7.0782,2
ABQ,MQ,1097,5.9171,3.9732,11,0.010027,10.0162,-4.0991,3
ABQ,UA,2501,6.4361,0.5628,26,0.010396,10.0162,-3.5801,4
ABQ,NK,720,8.5028,3.3876,8,0.011111,10.0162,-1.5134,5
