ABE,1,high,7,268.8571,244.0,1:Delay_carrier=4; 2:Delay_late_aircraft=3
ABE,1,low,61,-4.0492,-18.7213,1:Delay_nas=3
ABE,1,medium,7,31.8571,45.0,1:Delay_nas=3; 2:Delay_carrier=2; 3:Delay_late_aircraft=2
ABI,1,low,30,-5.9,-5.3667,1:Delay_nas=3
ABQ,1,high,20,174.35,180.9,1:Delay_late_aircraft=16; 2:Delay_carrier=4
ABQ,1,low,272,-1.4191,-5.7537,1:Delay_nas=20; 2:Delay_carrier=4; 3:Delay_late_aircraft=1
ABQ,1,medium,50,29.14,25.92,1:Delay_late_aircraft=12; 2:Delay_carrier=8; 3:Delay_nas=6
ABR,1,high,2,165.0,148.0,1:Delay_carrier=1; 2:Delay_weather=1
ABR,1,low,7,-5.7143,-15.0,NoCauseAvailable
ABY,1,low,9,-2.1111,-8.7778,1:Delay_weather=1
