ABE,1,high,30,241.3,234.0333,1:Delay_late_aircraft=14; 2:Delay_carrier=12; 3:Delay_nas=2
ABE,1,low,251,-5.2948,-13.0241,1:Delay_nas=20; 2:Delay_carrier=1
ABE,1,medium,30,33.6,32.7586,1:Delay_late_aircraft=12; 2:Delay_carrier=7; 3:Delay_nas=3
ABI,1,high,14,112.5,123.8462,1:Delay_late_aircraft=9; 2:Delay_weather=3; 3:Cancellation_B=1
ABI,1,low,111,-6.009,-3.3153,1:Delay_nas=10
ABI,1,medium,11,38.9091,36.7273,1:Delay_late_aircraft=7; 2:Delay_weather=2; 3:Delay_carrier=1
ABQ,1,high,108,139.0648,136.3241,1:Delay_late_aircraft=74; 2:Delay_carrier=20; 3:Delay_nas=7
ABQ,1,low,1312,-2.9688,-7.7435,1:Delay_nas=56; 2:Delay_carrier=12; 3:Delay_late_aircraft=2
ABQ,1,medium,198,30.9949,26.4394,1:Delay_late_aircraft=85; 2:Delay_carrier=33; 3:Delay_nas=16
ABR,1,high,5,130.8,121.4,1:Delay_carrier=3; 2:Delay_weather=2
